Id,Tweet,FAUX
5723,abhi tak ke note me mujhe gps nano chip nahin mila,NonFake-NonHate
2338,abe katiye tumse kuch huaa toh jata nahi bas bakri jaise maymay karte rehte ho behan ke lodo tumhari tablighi jamaat ke karan corona faila aur bhoomi poojan mein sab ko screen aur full medical jach ke saath huaa bhosdiwalo,Fake-Hate
1579,ye sab sazish haibina saman ke koi kaise apne gher ja sakta haidekh lena inn logo ke beech bahut aise jamaat ke wo corona honge jo delhi se nikle they,Fake-Hate
6524,abe jao tum to dasko pahle hi fash gye the jab tere dada ne talwar ke nokh par salwar pahena tha tera daram kabhi hindu kabhi muslim,Fake-NonHate
7618,ab ye afbah kaun faila raha hai ki shahhen bag ke biryani me population control ki dawa milli hui hai,NonFake-NonHate
5077,nahi sudhar sakta tu waise boycott kb se start kr rha eid pe aa rhi hindustan ka bhai ki picture jaldi kr pathaan jaisa flop karwana h jaise sarrok kaa career bachaya bhai ne tera v bacha dega j nafarti dal,Fake-NonHate
5342,hindenburg ko america ke bank ki gadbadi nahi dikhi bank doob gayalekin sat samundar par adani dikh gayabzq payment adani ke liye mila thaand job to job hoti hai,Fake-NonHate
1451,agar tum maan lo ki tabligi jamaat hi corona ke liye jimmedar hai to hum v maan jayenge ki trump ki wajah se hi sayad mulle jyada bimar hue,Fake-Hate
4975,inme se kahiyoun ke pati pita bhai amp behen boycott kar rahe te pathaan ko,Fake-NonHate
7108,magar accident mein toh na jane kitne muslim bhi maregaye hainmasjid nahibrmandir haimatlabkuch toh galat haiduty karne wala hindu train chalane wala hindu signal dene wala hinduaur marne wala hindumuslim sabhi,NonFake-NonHate
6200,ha hm islam ko izzat de aur tum convert karo hme shaitan kaho chal bhag apni dukan leke jai shree ram,Fake-NonHate
7782,ha bilkul,NonFake-NonHate
7460,bati pataubati padaukhya hamare khilari khe sath ya karna chahiya,NonFake-NonHate
6126,allah ki gand me suar ka land,Fake-NonHate
3833,sargum i like you but but sirf ishliye issue m jump mat kijiye ki aap ussh film industry se belong karti h kyunki agar bill m itni hi burayi hoti toh sirf punjab k nhi baaki states k farmers bhi apne state m fully protest karte or khalistan,NonFake-NonHate
5889,bhai jo channel ke note se nano gps chip nikal de woh channel mahan hai meri taraf se topo ki salaami,NonFake-NonHate
1489,are suna hai apne mantri bhi to isi jamaat ke hain ab woh kya aagaie denge chaliye aaj se jo bhi corona case milega use jain jamati hi bola jayega,Fake-Hate
5072,pathaan ko boycott kiya boycottbollywood gang ne ab kya is pathaan ke bachche ko bhi boycott karenge,NonFake-NonHate
2836,yeh koi afwah nahin hai yah hakikat hai ki tabliki jamaat ki vajah se hi pure desh mein corona sankraman faila hai jo log ye mante hain ki ye sach nhi hai to kya unlogo ne vo vides nhi dekhe hain jis me ek mulla falo aur sabjiyo me thuk laga ra,Fake-Hate
2274,corona india me to tha hi nahi ye sab bahar jo modiji logo ko laye hai unse india me corona faila aur rahi baat tablighi jamat ki to arwind kejriwal ka latest bayan sun lo phir pata chalega corona kisne failaya,Fake-Hate
1916,iska matlab jo tablighi plasma donate kar rahe hain wo hindustani aur jo tablighi corona ke shikaar huwe aur plasma donate nahi kiya wocorona jjihadi bahot ghatiyawala breed pala hai saheb ne,Fake-NonHate
4923,pathaan flop ho gaya aab jawan pe dhyan de boycott jawan,NonFake-NonHate
2424,jab rajya sarkar main baithi party gareeb logo ko mahanagar se bhagane ke liye sab kuch karati hai magar corona ki rok tham nahi karati to yehi haal pure desh ka hona tay hai tabliki jamaat congress aur aap jasi rajya sarkar isake gunahgaa,Fake-Hate
1515,tabligi jamaat corona failane ka hc ka judgement a gaya hai ek debate to banta hai rubika ji sidh kerdo ke aap awaam k saath ho minority k saath nhee,Fake-Hate
